,text,review,sentiment
10,"Kemaren di Australia ricuh fans antara Melbourne City vs Melbourne Victory saat derby day. Tp polisi dan klub cepet nanganin kasusnya. Nggak ada korban meninggal. Kalau dibilang fanatis, luar negeri juga fanatis. Ini Exco PSSI nggak ada yg ngerti fans culture tp sok2an bacot. https://t.co/lRvcpwHBOS",kemaren australia ricuh fans melbourne city vs melbourne victory derby day tp polisi klub cepet nanganin kasus nggak korban tinggal bilang fanatis negeri fanatis exco nggak ngerti fans culture tp sok bacot,negatif
11,"Brandon Scheumann, Bek 17 Tahun Milik PSIS Semarang, Catat Debut Ciamik Lawan Arema FC

#psis #aremafc #Liga1 #PSSI #brandonscheumann
https://t.co/gEGD48ZaE5",brandon scheumann bek milik psis semarang catat debut ciamik lawan arema fc psis aremafc liga brandonscheumann,negatif
12,"Dorongan untuk maju menjadi Ketua Umum PSSI dari berbagai pihak kepada @erickthohir untuk membenahi PSSI secara internal telah mendapat restu dari Presiden.
#ButuhNyaliBukanNyala
https://t.co/7us2PXEtFG",dorong maju ketua benah internal restu presiden butuhnyalibukannyala,positif
13,Tegas! Madura United Tolak Berikan Suara kepada Nama Lama yang Maju Jadi Pengurus PSSI Lagi – Semua Halaman – Bolasport – https://t.co/il720OTgIV – #Arenanews #Kamidi #Opsiminfo https://t.co/vsn94urLjV,madura united tolak suara nama maju urus halaman bolasport arenanews kamidi opsiminfo,positif
14,@yoqasetiawan @SiaranBolaLive Yg bikin regulasi pssi yg ngadain kompetisi pssi. Kalau bener semua mana ada supporter turun kelapangan. Yg berpendidikan aja gak bisa bikin bola disini lebih baik. Ngurus tragedi gak becus kompetisi tetep lanjut kasusnya blm selese. masih dibelain juga,bikin regulasi ngadain kompetisi bener supporter turun lapang didik bikin bola ngurus tragedi becus kompetisi tetep kasus blm selese bain,negatif
15,"Segera Diambil Sumpah WNI, Ketum PSSI Ungkap Harapan ke Shayne Pattynama – Semua Halaman – Bolasport – https://t.co/TzoRtG3Hnn – #Arenanews #Kamidi #Opsiminfo https://t.co/uHNPr9I922",ambil sumpah wni tum harap shayne pattynama halaman bolasport arenanews kamidi opsiminfo,netral
16,*PSSI Kabupaten Bekasi Bentuk Panitia Pemilihan Ketua Baru* https://t.co/rLKerJ16bF,kabupaten bekas bentuk panitia pilih ketua,netral
17,"KISAH PERSETERUAN RYAN GIGGS DAN KAKA
https://t.co/tV5x5aM1Nm
𝐂𝐔𝐀𝐍 𝐂𝐔𝐀𝐍 𝐂𝐔𝐀𝐍
𝐑𝐄𝐆𝐈𝐒𝐓𝐄𝐑 https://t.co/XVD00N5q31
#sekawanbet #astonvilla #arsenal  #sepakbola #mixparlay #parlay #pssi #kanjuruhan #indonesia #serieA #acmilan #intermilan https://t.co/2UgxhKTF01",kisah seteru ryan giggs kaka sekawanbet astonvilla arsenal sepakbola mixparlay parlay kanjuruhan indonesia seriea acmilan intermilan,netral
18,"Sekjen PSSI yakin kalau Erick Thohir bisa mendulang jumlah pemilik suara paling banyak dari bakal calon lainnya berkat pengalaman di dunia olahraga.
#ButuhNyaliBukanNyala https://t.co/CBt8eAWAfx",sekjen erick thohir dulang milik suara calon berkat alam dunia olahraga butuhnyalibukannyala,netral
19,@SiaranBolaLive Mendingan gausah asa pssi dah,mending gausah asa dah,netral
20,"@SiaranBolaLive Kalau ini nda bisa di bantah sih, tapi tetap aja PSSI nda becus dalam mengurus tragedi yg memakan banyak korban jiwa ini",nda bantah sih nda becus urus tragedi makan korban jiwa,negatif
21,@panditfootball Bacot bet anjg punya PSSI juga gak guna tai,bacot bet anjg tai,negatif
22,"@iIhamzada Mohon share info, kalau meninggal dalam stadion itu hukumnya dalam peraturan PSSI atau hukum negara?",mohon share info tinggal stadion hukum atur hukum negara,netral
23,"@bijiiiSalak @MafiaWasit bener. tapi emang PSSI lu udah bener? PSSI lu berpendidikan?
KAGA.",bener emang lu udah bener lu didik kaga,netral
24,@GSR2030 @SiaranBolaLive Prestasi gak ada ngurus tragedi kanjuruhan gak becus. Mendingan yg dibilang kurang pendidikan apa yg minus prestasi blok? Masih aja belain pssi heran gw sama lu bang 🤣,prestasi ngurus tragedi kanjuruhan becus mending bilang didik minus prestasi blok bain heran gw lu bang,positif
25,apa yang sdh dilakukan pssi agar fans klub jd lbh well educated? do nothing...jd pssi kuwi mung nggedekne waduke dewe2 ... organisasi dibenahi bukan untuk aktualisasi politisi https://t.co/IgWP1jMiXO,sdh fans klub jd lbh well educated do nothing jd kuwi mung nggedekne waduke dewe organisasi benah aktualisasi politis,positif
26,@IkhwanusSafad12 @paratuka @MafiaWasit La petinggi pssi nya jg org klub nya wkwkwkw,la petinggi jg org klub wkwkwkw,netral
27,"Maju Caketum PSSI, Erick Thohir Diklaim Kantongi 60 Voters https://t.co/PjrJQqnhz8",maju caketum erick thohir klaim kantong voters,positif
28,"Erick Thohir memastikan adanya ketegasan dalam kepemimpinan PSSI jika dia terpilih jadi ketua umum PSSI. Erick Thohir akan membuat peraturan baru untuk menjaga kebersihan PSSI
#ButuhNyaliBukanNyala
#BangkitBersamaET https://t.co/7hRZ1Ms1ci",erick thohir tegas pimpin pilih ketua erick thohir atur jaga bersih butuhnyalibukannyala bangkitbersamaet,positif
29,"Erick Thohir menegaskan bahwa tidak adanya keberpihakan jika dia terpilih sebagai ketua umum PSSI.tidak ada konflik kepentingan dalam pengurusan PSSI
#ButuhNyaliBukanNyala
#BangkitBersamaET https://t.co/T7B8LVDYow",erick thohir pihak pilih ketua konflik penting urus butuhnyalibukannyala bangkitbersamaet,netral
30,"Idealnya yg jadi exco pssi ini ngerti bola, lebih modern dan ga kolot2 macam bapa. Sama minimal punya malu lah. https://t.co/xYfw9nJdL2",ideal exco ngerti bola modern kolot bapa minimal malu,netral
31,"Kongres PSSI menjadi menarik dengan munvy menteri BUMN Erick Thohir dan menpora Zainudin Amali
#ButuhNyaliBukanNyala
#BangkitBersamaET https://t.co/avyZpPPgcm",kongres tarik munvy menteri bumn erick thohir menpora zainudin amal butuhnyalibukannyala bangkitbersamaet,positif
32,"Erick Thohir menyiapkan agenda bersih-bersih PSSI. Ada aturan bagi siapapun yang mencoreng nama baik sepakbola Indonesia
#ButuhNyaliBukanNyala
#BangkitBersamaET https://t.co/xtQQntGEQV",erick thohir agenda bersih bersih atur coreng nama sepakbola indonesia butuhnyalibukannyala bangkitbersamaet,negatif
33,"@CNNIndonesia @PSSI 1 jari kau tuduhkan, 4 jari kena muka kalian..",jari kau tuduh jari kena muka,negatif
34,@SiaranBolaLive PSSI Kalo ngasih sangsi yg tegas juga biar ada efek jera buat para supporter,kalo ngasih sangsi biar efek jera supporter,negatif
35,@SiaranBolaLive Yoes mben enek event pssi rasah nggo suporter ae nho,yoes mben enek event rasah nggo suporter ae nho,negatif
36,@FaktaSepakbola Mimpi kali loh di pilih jdi waktum Pssi,mimpi kali loh pilih jdi waktum,netral
37,Gak PSSI gak FIGC podo ae 👎 https://t.co/bLztFHFWHS,figc podo ae,netral
38,"@SiaranBolaLive Pejabat @PSSI nya saja yang goblok..berpendidikan tapi ya itu, goblok.",jabat goblok didik goblok,negatif
39,KLB PSSI,klb,netral
40,"Andai Terpilih Jadi Ketum PSSI, Erick Thohir Tertarik Pasang VAR di Liga Indonesia #LengkapCepatBeritanya #Bola #SepakBola #LigaIndonesia #SepakbolaNasional . https://t.co/XrOTl2PQOb",andai pilih tum erick thohir tarik pasang var liga indonesia lengkapcepatberitanya bola sepakbola ligaindonesia sepakbolanasional,netral
41,"Punya pengalaman mumpuni di dunia olahraga Pak Erick Thohir dinilai sekjen PSSI mampu memberikan yang terbaik untuk sepakbola Indonesia 🇮🇩

#ButuhNyaliBukanNyala https://t.co/cmPENmJDMT",alam mumpuni dunia olahraga erick thohir nilai sekjen baik sepakbola indonesia butuhnyalibukannyala,positif
42,"@rejekinggakeman @detikcom @LaNyallaMM1 Mau tanya, waktu beliau ketua pssi program yg sukses dan belum jalan apa?",beliau ketua program sukses jalan,positif
43,@tomy_chrenz @SiaranBolaLive Dari awal sistem nya yg salah.. Memang benar orang Indo kurang pendidikan jdi kualitas sistem yg di buat PSSI sesuai dgn kualitas pendidikan nya,chrenz sistem salah orang indo didik jdi kualitas sistem sesuai dgn kualitas didik,positif
44,@SiaranBolaLive sama pssi juga hehe,hehe,netral
45,"Cabor Desak Menpora Amali Mundur Sebagai Cawaketum PSSI, Dinilai Prestasi Olahraga Moncer Saat Dikomandoinya 

https://t.co/Dcw1fgVfxz #lanyallaforpssi",cabor desak menpora amal mundur cawaketum nilai prestasi olahraga moncer komando lanyallaforpssi,netral
46,"@VIVAcoid Maksudnya s duetin buat jadi ketua dan wakil PSSI,gtu?? Saya sangat setuju",maksud s duetin ketua wakil gtu tuju,netral
47,"Polling: Siapa Bakal Calon Ketua Umum PSSI Pilihanmu? https://t.co/nzbcczJnZq

vote #lanyalla",polling calon ketua pilih vote lanyalla,netral
48,"Prestasi Olahraga Meroket di Tangan Zainudin Amali, Menpora Diminta Mundur dari Cawaketum PSSI 

https://t.co/6VNdKee9rD",prestasi olahraga roket tangan zainudin amal menpora mundur cawaketum,positif
49,@UpdateBolabola Dan ketum pssi masih ibul,tum ibul,netral
50,"@SiaranBolaLive Boleh saja dan sah2 saja anggota @excoPSSI bilang gt.
Dan suporter juga boleh dan sah2 saja bilang @PSSI dan @excoPSSI GAK BECUS URUS LIGA DAN SEPAKBOLA DI NEGERI INI.

NAH, KAN SAMA2 GAK BECUS,, YA RUBAH LAH.. MINIMAL MENTAL KALIAN SEMUA LAH. KLO @PSSI sama @excoPSSI YA DI GANTI",sah anggota bilang gt suporter sah bilang becus urus liga sepakbola negeri becus rubah minimal mental klo ganti,positif
51,"@CNNIndonesia Bubar aja kalian PSSI, APAKAH MENJADI SUPPORTER ADA SEKOLAH WAJIB NYA????",bubar supporter sekolah wajib,negatif
52,"@MayaA62580468 Kalo pak Eric kagak kepilih oleh para voter,fix PSSI sedang tidak baik2 saja",kalo eric kagak pilih voter fix,netral
53,"Masih mo nonton bola ?
😤

Sidang Kanjuruhan, PSSI Sebut Suporter Indonesia Kurang Pendidikan https://t.co/2tSmJXMxPS",mo nonton bola sidang kanjuruhan suporter indonesia didik,positif
54,@dianoaxl @tanpajerawat @dosolsollami @PSSI Ini mau maen bola apa ajang gud luking,maen bola ajang gud luking,netral
55,@VIVAcoid Erick Tohir lebih cocok jadi ketua pssi,erick tohir cocok ketua,positif
56,"@SiaranBolaLive jangan sampe mereka jadi pinter, ntar pssi gada pemasukan",sampe pinter ntar gada pasu,netral
57,"Erick Thohir Calonkan Diri Jadi Ketum PSSI, Simak 5 Fakta Menariknya : Okezone Economy https://t.co/tKHmysVWGf",erick thohir calon tum simak fakta tarik okezone economy,positif
58,@diazlikeun @SekarPandann @ardynshufi Emang pami bayar denda ka PSSI nganggo artos club/artos subsidi PSSI kanggo ka club?  Serius ieu abi kirang paham. :(,emang pami bayar denda ka nganggo artos club artos subsidi kanggo ka club serius ieu abi kirang paham,positif
59,"@panditfootball Sudahlah, saya berhenti mendukung @PSSI dan akan sangat menghargai kalau semua orang berhenti juga. Sudah jelas jelas korup, apalagi yg mau diharapkan.",henti dukung harga orang henti korup harap,netral
60,"Suporter sama pssi, sama aja https://t.co/QbY78KSE6S",suporter,netral
61,Kalau emg tau kondisi dan latar belakang suporter sepakbola Indonesia ya harus tau gimana cara kerjanya sebagai pengurus. Itu sudah tau semua bagian dr PSSI berarti pedidikan anda juga kureng.,emg tau kondisi latar suporter sepakbola indonesia tau gimana kerja urus tau dr didik reng,positif
62,"Pak yg pendidikan tinggi lihatnya ke Eropa liga inggris atau spanyol, karna tau kualitas sepakbola yg dinaungi PSSI kureng bgt. Mrka yg anda sebut kurang pendidikan support dr level klub sampai timnas lo smpai skrg tp ga ada perubahan kualitas kalian emg RENDAH bgt sbg pengurus. https://t.co/eCweaLbZQE",didik lihat eropa liga inggris spanyol karna tau kualitas sepakbola naung reng bgt mrka didik support dr level klub timnas lo smpai skrg tp ubah kualitas emg rendah bgt sbg urus,positif
63,"@panditfootball Kl ini bapak naik lagi di pssi, perlu diruqyah sih voters"" yg milih",kl diruqyah sih voters milih,netral
64,BBM D6000502 BolaUtama Agen Piala Dunia #SepakBolaIndonesia #ISL #PSSI,bbm d bolautama agen piala dunia sepakbolaindonesia isl,netral
65,Erick Thohir menyinggung voters dan sepak bola yang bersih jelang Kongres Luar Biasa (KLB) PSSI. #PSSI https://t.co/SgGGs1AG34,erick thohir singgung voters sepak bola bersih jelang kongres klb,netral
66,@SiaranBolaLive PSSI sebut : “aku juga kurang kok”,,netral
67,@txtdrimedia Ketum pssi ny stres,tum ny stres,negatif
68,"Antar Erick Thohir Daftar Calon Ketua Umum PSSI, Kaesang: Niatnya Bagus https://t.co/y2GNuFcYg9",erick thohir daftar calon ketua kaesang niat bagus,positif
69,@sutengil @PSSI Ojo di pilih ae king,ojo pilih ae king,netral
70,PSSI sok ngasih edukasi teu ajig https://t.co/0LFbpc02oK,sok ngasih edukasi teu ajig,netral
71,Menteri BUMN Erick Thohir menyinggung perihal kekompakan mengenai dirinya yang maju menjadi calon Ketua Umum PSSI. #ErickThohir https://t.co/m4ZkUvUHLn,menteri bumn erick thohir singgung perihal kompak maju calon ketua erickthohir,positif
72,@Bola_Jakarta Ngutek ora su @PSSI,jakarta ngutek ora su,netral
73,"Antar Erick Thohir Daftar Calon Ketua Umum PSSI, Kaesang: Niatnya Bagus https://t.co/cxIfzk4YGj #TempoSport",erick thohir daftar calon ketua kaesang niat bagus temposport,positif
74,@panditfootball Idealnya Ahmad Riyadh ini dibuang aja dari PSSI,ideal ahmad riyadh buang,positif
75,"@MafiaWasit itu pssi juga salah g tegas knp g diberi hukuman klub &amp; suporternya di bekukan ato degragasi ato g boleh ada kegiatan sepak bola selama yg ditentukan misal 10 thn.
pssi sebagai federasi diem wae ga tegas anjg mending bubarin semua nya sekalian aja g usah ada sepakbola profesional",salah g knp g hukum klub amp suporter beku ato degragasi ato g giat sepak bola tentu thn federasi diem wae anjg mending bubarin g sepakbola profesional,positif
76,@garagarabola_ Ga kebayang sih kalo waktu itu pssi sabar buat pertahanin luis milla,bayang sih kalo sabar pertahanin luis milla,positif
77,"@wahju_wibowo @SiaranBolaLive @PSSI @AremafcOfficial Di kasus ini PSSI mau membenarkan jika org2 PSSI tak bersalah krn mereka ini org2 terdidik, berbeda dgn suporter, mau digeneralisir pun ok Aremania, trs PSSI mau apa? Menghukum Arema. Lupa kalo yg punya Arema org PSSI juga?",wibowo benar org salah krn org didik beda dgn suporter digeneralisir ok aremania trs hukum arema lupa kalo arema org,positif
78,@Sport77Official Percuma sih kita ngetag akun PSSI gabakal di baca palingan di liat notice abis itu di close 🤣,sih ngetag akun gabakal baca paling liat notice abis close,netral
79,"@gilangaaf @Rafi37483830 @SiaranBolaLive Ngapain di tanggepin, orang anggota PSSI nya aja gak berpendidikan, kok malah kita ributin sih",ngapain tanggepin orang anggota didik ributin sih,positif
80,PSSI itu makhluk apaan ya https://t.co/cwXhEzrQ4M,makhluk,netral
81,"@SiaranBolaLive Kayak pengurus PSSI nya berpendidikan aja, sadar diri hey",kayak urus didik sadar hey,positif
82,"@paradoks__404 @SiaranBolaLive Etssss inget kata org PSSI bang, kalo suporter pd damai trs apa yg mau di jual selain prestis yg di miliki suporter, PSSI ga cuan , ente ini di didik PSSI utk saling bermusuhan biar sepak bola bisa di jual",etssss inget org bang kalo suporter pd damai trs jual prestis milik suporter cuan ente didik utk musuh biar sepak bola jual,positif
83,"@ch_chotimah2 @erickthohir Berkat @erickthohirlah Indonesia bisa terbebas dari sanksi FIFA. 
Pak @erickthohir adalah orang yang tepat untuk membawa PSSI dan persepakbolaan Indonesia jadi lebih maju.
#ButuhNyaliBukanNyala",chotimah berkat indonesia bebas sanksi fifa orang bawa persepakbolaan indonesia maju butuhnyalibukannyala,netral
84,"@SiaranBolaLive kalau suporter dibilang kek gitu.
Berarti PSSI juga KURANG OTAK CERDAS.
GOBLOK NGELOLA PEMBINAAN - LIGA. 

PENTINGNYA NGACA @PSSI",suporter bilang kek gitu otak cerdas goblok ngelola bina liga ngaca,netral
85,@panditfootball Orang ini mulutnya kudu ditajong pakai sepatu pantopel biar gak tong kosong nyaring bunyinya doang. Kebanyakan pencitraan ngga ada hasil kerjanya. @pssi kontol,orang mulut kudu ditajong pakai sepatu pantopel biar tong kosong nyaring bunyi doang banyak citra ngga hasil kerja kontol,positif
86,"@CNNIndonesia pssi kurang prestasi.
what an asshole statement",prestasi what an asshole statement,positif
87,"@VIVAcoid Ini  jawaban, kenapa Portal berita bola akhir² ini sering Rusuh, ketika ada yang mengatakan erik tohir sebagai orang Politik, terkait pencalonannya sebagai ketua umum PSSI..",portal berita bola rusuh erik tohir orang politik kait calon ketua,negatif
88,@daniieelaseven pssi,,netral
89,"@iIhamzada Disini kita lebih diajarkan bagaimana caranya mengkambinghitamkan tanpa perlu adanya introspeksi, contoh; ""suporter kita kurang pendidikan"" Tidak ada asap kalo tidak ada api, padahal mereka (pssi) sendiri lah akar permasalahannya.",ajar mengkambinghitamkan introspeksi contoh suporter didik asap kalo api akar masalah,netral
90,"@PSSI smua pemain sekaligus di ajak, apa yg di dalam negeri pemain kurang vitamin...😂",smua main ajak negeri main vitamin,netral
91,"@SiaranBolaLive Perlu banget seret menteri pendidikan di meja sidang, minta pertanggung jawaban sekalian. Ga pssi ga wasitnya, offside teros",banget seret menteri didik meja sidang tanggung wasit offside ros,netral
92,"@adrielbramanda @Hypatia212 @SiaranBolaLive Yg mengelola sepakbola negeri ini siapa?
Apakah PSSi sudah melaksanakan regulasi dgn baik, bahwa tdk boleh ada gas air mata di dalam stadion.
Apakah Pssi sudah melakukan verifikasi Stadion Kanjuruhan? 
Soal suporter udah ada aturannya kok di uu keolahragaan, tinggal diikuti aja.",kelola sepakbola negeri laksana regulasi dgn tdk gas air mata stadion verifikasi stadion kanjuruhan suporter udah atur uu olahraga tinggal ikut,netral
93,"Minta Zainudin Amali Mundur Sebagai Cawaketum PSSI, Budiman: Menpora Terbaik dan Punya Konsep https://t.co/hRKe5g8oti",zainudin amal mundur cawaketum budiman menpora baik konsep,positif
94,"Minta Zainudin Amali Mundur Sebagai Cawaketum PSSI, Budiman: Menpora Terbaik dan Punya Konsep https://t.co/ZYhdxYi8Ui",zainudin amal mundur cawaketum budiman menpora baik konsep,positif
95,@PSSI Naturalisasi terus prestasi NOL BESAR,naturalisasi prestasi nol,positif
96,"@LM_Alfatih @CNNIndonesia gw setuju bro pndpat loe, sporter di negri ini mental cengeng, mau nya team dia menang trus,pas kalah ngamuk.. 
tpi PSSI jiga salah, dan itu dr dlu gk ada prkembngan sma skli..",alfatih gw tuju bro pndpat loe sporter negri mental cengeng team menang trus pas kalah ngamuk tpi jiga salah dr dlu gk prkembngan sma skli,negatif
97,@faisalulyn @SiaranBolaLive @PSSI nya yg kurang akhlak,akhlak,netral
98,"@SekarPandann @ardynshufi nah eta ang euy, ongkoh geleuh ka pssi nyebut mata duitan ka pssi tapi disatu sisi kadang nyieun piduiteun wae keur pssi",eta ang euy ongkoh geleuh ka nyebut mata duit ka satu sisi kadang nyieun piduiteun wae keur,netral
99,"Selama tidak ada regulasi &amp; sanksi yang jelas, membangun, dan TEGAS!
Sepakbola nasional hanya akan begini begitu saja.
PSSI punya peran dibalik stagnasi (atau kalau mau dibilang Kemunduran) Sepnas. https://t.co/qaMSN09uTk",regulasi amp sanksi bangun sepakbola nasional peran balik stagnasi bilang mundur sepnas,negatif
100,"@txtdrimedia Jika pssi bilang supporter indonesia kurang pendidikan,ya berarti mereka yang punya pendidikan tinggi yang di tunjuk untuk menjadi,panpel,ketua pssi,menjaga keamanan dll,tugas kalian ya menjalankan semuanya dengan baik,karna kalian di bayar untuk menjalankan semuanyadengan Baik",bilang supporter indonesia didik didik panpel ketua jaga aman dll tugas jalan karna bayar jalan semuanyadengan,positif
101,"@SiaranBolaLive Kalo bicara sebagian besar,kayaknya iya..
tapi kalo semua? ya enggak juga ya mas pssi :)",kalo bicara kayak iya kalo mas,netral
102,"@PSSI PSSI RUSAK sistemnya.. liga 2 dan 3 dihentikan...yg rapat buang2 waktu, tenaga, pikiran, dan menyengsarakan para klub dan pemain di liga2 tsb.",rusak sistem liga henti rapat buang tenaga pikir sengsara klub main liga tsb,negatif
103,@CNNIndonesia kabeh salah! lebih salah maneh @PSSI !!!,kabeh salah salah maneh,negatif
104,"@kang_kasur @evildance_ @idextratime kalo mau haaland, Odegaard main di pildun, suruh ole latih Norwegia. aneh pssi Norwegia gak pake ole.",kasur kalo haaland odegaard main pildun suruh ole latih norwegia aneh norwegia pake ole,negatif
105,"Gak ada lawan
Cuma Erick Thohir terbaik sbg Calon Ketum PSSI

@erickthohir
#ButuhNyaliBukanNyala https://t.co/Rwmdt4g8mh",lawan erick thohir baik sbg calon tum butuhnyalibukannyala,netral
106,"Kalo mau bikin pengalihan isu ga usah cara basi seperti rezim ini neolib jangan mau jadi boneka mamarika rezin asing aseng bla2.. mau bikin rakyat senang setel aja liga bola PSSI semegah superbowl  seperti ini contohnya
https://t.co/Oppvm7Ip7N",kalo bikin alih isu basi rezim neolib boneka mamarika rezin asing aseng bla bikin rakyat senang setel liga bola megah superbowl contoh,negatif
107,Liga Germany ( BolaUtama ) #SepakBolaIndonesia #ISL #PSSI,liga germany bolautama sepakbolaindonesia isl,netral
108,"Keren niy 
Berita hangat !!  Erick Thohir jamin kantongi Restu dari Presiden Jokowi untukaju sbg Caketum PSSI.  Simak Kuy 
https://t.co/Q8PLeaql4l 
@erickthohir
#ButuhNyaliBukanNyala",keren niy berita hangat erick thohir jamin kantong restu presiden jokowi untukaju sbg caketum simak kuy butuhnyalibukannyala,positif
109,@erickthohir @PSSI Bntu follow yu,bntu follow yu,netral
110,"@bim_dr @AndiePeci Dagelan PSSI tuh sebenarnya sdh mencapai puncaknya saat kanjuruhan kemarin, pemberhentian liga 2 dan liga 3 tuh ibarat cherry on the top of the topping alias semakin mempertegas dagelan nya PSSI",dr dagel tuh sdh capai puncak kanjuruhan kemarin henti liga liga tuh cherry on the top of the topping alias tegas dagel,positif
111,"@tanpajerawat @dosolsollami @PSSI Nadeo bagus buat tampilan kita, biar agak seger. Bukan maksud rasis yaa, karena sy suka tampilan nadeo yg keknya ada keturuan mana gtu🤣🤣 Klo ganti riyandi boleh dicoba, kemarin trisna aja panik lawan filipin. Sty ini ga liat riyandi top clean sheets di liga 1🤣",nadeo bagus tampil biar seger maksud ras yaa sy suka tampil nadeo kek keturuan gtu klo ganti riyandi coba kemarin trisna panik lawan filipin sty liat riyandi top clean sheets liga,netral
112,Ahmad Riyadh Yunus Nusi Ki wong wong an tai neng pssi https://t.co/4iBhybonBy,ahmad riyadh yunus nus ki an tai neng,negatif
113,"Teruji Kualitas dan Kapabilitias nya untuk menjadi Ketum PSSI

@erickthohir
#ButuhNyaliBukanNyala https://t.co/hlyt4zCSh4",uji kualitas kapabilitias tum butuhnyalibukannyala,netral
114,"Nyali  jangan diragukan !!
Erick Thohir layak dong jadi Ketum PSSI dan banyak dukungan.  
@erickthohir
#ButuhNyaliBukanNyala https://t.co/FENqD4pawe",nyali ragu erick thohir layak tum dukung butuhnyalibukannyala,netral
115,"@AndiePeci Kok gue malah merasa justru bagus ya kalo antusiasme rakyat Indonesia sama sepakbola lokal tuh makin hari makin turun, selain sebagai media jera buat PSSI juga supaya pikiran orang indo tuh terbuka dikit kalo hiburan olahraga tuh gak cm sepakbola doang

Terima kasih kanjuruhan",gue bagus kalo antusiasme rakyat indonesia sepakbola lokal tuh turun media jera pikir orang indo tuh buka dikit kalo hibur olahraga tuh cm sepakbola doang terima kasih kanjuruhan,positif
116,"@GhaneshRM @FaktaSepakbola opini lu ok, kenapa gag nyalon ketum PSSI.....",opini lu ok gag nyalon tum,positif
117,"@PSSI kurang pengetahuan, cuman paham kekuasaan !!! https://t.co/JB6u23iXp3",tahu cuman paham kuasa,positif
118,"Selalu ciptakan Harmoni, Erick Thohir diyakini jadikan PSSI pasti berprestasi dan dengan pengalamannya di dunia sepakbola akan bisa menaikkan level timnas
@erickthohir 
#BangkitBersamaET https://t.co/uLTj4gUKMS",cipta harmoni erick thohir yakin jadi prestasi alam dunia sepakbola naik level timnas bangkitbersamaet,positif
119,"Dengan elektabilitas yang udah lumayan, Erick Thohir tentu membutuhkan dorongan lebih untuk memuluskan jalannya berkompetisi pada pemilu 2024. Dari sekian wahana yang bisa dimanfaatin, sepak bola menjadi pilihan yang ideal untuknya. #TerminalMojok https://t.co/VmnQysutWb",elektabilitas udah lumayan erick thohir butuh dorong mulus jalan kompetisi milu sekian wahana dimanfaatin sepak bola pilih ideal untuk terminalmojok,positif
